date,network,pools,reserve_usd,volume_24h,vlr
2026-08-19,solana,20,14666647.68,1328783217.26,90.599
2026-08-19,eth,20,236104564.03,733211836.22,3.1055
2026-08-19,base,20,177805614.57,710974799.24,3.9986
2026-08-19,bsc,20,117387443.11,501029800.97,4.2682
2026-08-19,arbitrum,20,685705071.67,319815774.42,0.4664
2026-08-19,polygon_pos,20,192437287.31,41015495.22,0.2131
2026-08-19,avax,20,12396421.43,34250871.5,2.763
2026-08-19,optimism,20,8597808.19,28331284.91,3.2952
2026-08-20,solana,20,15168743.17,1512694438.92,99.7244
2026-08-20,eth,20,240554613.4,952132843.98,3.9581
2026-08-20,base,20,175927789.31,790996143.74,4.4961
2026-08-20,bsc,20,119555264.36,511548055.14,4.2788
2026-08-20,arbitrum,20,683872066.83,356725597.92,0.5216
2026-08-20,polygon_pos,20,192488282.95,42444498.23,0.2205
2026-08-21,solana,20,17597255.37,1173223908.71,66.6708
2026-08-21,bsc,20,173242300.4,634268301.13,3.6612
2026-08-21,eth,20,227784444.99,575146517.65,2.525
2026-08-21,base,20,62843252.28,570936039.9,9.0851
2026-08-21,arbitrum,20,689309947.55,277000734.42,0.4019
2026-08-22,solana,20,41014871.3,1561652558.35,38.0753
2026-08-22,base,20,164234294.31,990014011.38,6.0281
2026-08-22,bsc,20,130689532.71,915814738.24,7.0076
2026-08-22,eth,20,190821767.87,626559785.79,3.2835
2026-08-22,arbitrum,20,130019871.8,539329666.31,4.1481
2026-08-23,solana,20,19953443.27,1057831368.13,53.015
2026-08-23,bsc,20,176629150.48,662463668.34,3.7506
2026-08-23,base,20,156073894.26,424549828.68,2.7202
2026-08-23,eth,20,137657973.97,291046988.04,2.1143
2026-08-23,arbitrum,20,112149340.83,150074168.36,1.3382
2026-08-24,solana,20,19401176.94,931326326.47,48.0036
2026-08-24,base,20,165033958.67,623863463.77,3.7802
2026-08-24,bsc,20,157639002.32,620172200.59,3.9341
2026-08-24,eth,20,141616501.31,271281591.66,1.9156
2026-08-24,arbitrum,20,682513413.86,202452457.85,0.2966
2026-08-25,solana,20,45322170.48,1484184543.05,32.7474
2026-08-25,base,20,160672292.42,629078254.26,3.9153
2026-08-25,eth,20,202876423.29,427094513.85,2.1052
2026-08-25,bsc,20,160338521.75,363531827.19,2.2673
2026-08-25,arbitrum,20,699851527.95,234568416.15,0.3352
2026-08-26,solana,20,18089771.73,1056973187.88,58.4293
2026-08-26,bsc,20,185818356.27,550235633.29,2.9611
2026-08-26,base,20,179288279.21,540859735.35,3.0167
2026-08-26,eth,20,138271656.11,260087428.56,1.881
2026-08-26,arbitrum,20,122943449.74,131138126.23,1.0667
2026-08-26,polygon_pos,20,180612364.84,50331457.3,0.2787
2026-08-27,solana,20,44233461.48,2106982992.74,47.6332
2026-08-27,base,20,168324003.69,475223419.86,2.8233
2026-08-27,bsc,20,169347998.11,420666338.63,2.484
2026-08-27,eth,20,259239186.55,329568677.14,1.2713
2026-08-27,arbitrum,20,698076094.49,209038185.76,0.2994
2026-08-28,solana,20,42774582.04,1316396065.12,30.7752
2026-08-28,bsc,20,206793212.02,518316191.28,2.5064
2026-08-28,base,20,172328120.93,508794309.16,2.9525
2026-08-28,eth,20,267306737.05,372889500.23,1.395
2026-08-28,arbitrum,20,120053718.15,160716982.75,1.3387
2026-08-29,solana,20,17544126.49,932578735.79,53.1562
2026-08-29,eth,20,346262824.29,607944509.28,1.7557
2026-08-29,bsc,20,169522892.59,467521339.31,2.7579
2026-08-29,base,20,165841084.47,366948174.83,2.2126
2026-08-29,arbitrum,20,688611487.7,135564103.74,0.1969
2026-08-30,solana,20,18323885.82,1347425054.42,73.5338
2026-08-30,bsc,20,172599108.21,562995956.28,3.2619
2026-08-30,base,20,160978170.77,134068565.6,0.8328
2026-08-30,eth,20,139796527.1,117362759.87,0.8395
2026-08-30,arbitrum,20,680229186.04,49729754.69,0.0731
2026-08-31,solana,20,17354186.21,1681292683.43,96.8811
2026-08-31,bsc,20,175448922.71,597113577.33,3.4033
2026-08-31,base,20,42867183.04,352427222.2,8.2214
2026-08-31,eth,20,249505770.85,295975335.16,1.1862
2026-08-31,arbitrum,20,682839818.94,171730197.53,0.2515
2026-09-01,solana,20,14883347.57,1358911374.58,91.3041
2026-09-01,bsc,20,170217290.75,587420059.89,3.451
2026-09-01,base,20,50997978.75,290352768.82,5.6934
2026-09-01,eth,20,280984822.98,253104550.97,0.9008
2026-09-01,arbitrum,20,113810590.02,140856695.22,1.2376
2026-09-02,solana,20,17786356.53,1125505489.6,63.2791
2026-09-02,bsc,20,155648620.24,463559315.84,2.9782
2026-09-02,base,20,167520078.73,424328061.45,2.533
2026-09-02,eth,20,261394075.96,285711951.41,1.093
2026-09-02,arbitrum,20,114968670.33,144229556.03,1.2545
2026-09-03,solana,20,15129160.11,1494104235.27,98.7566
2026-09-03,bsc,20,149351992.97,706230039.46,4.7286
2026-09-03,eth,20,209803154.12,338429994.05,1.6131
2026-09-03,base,20,52301009.37,283336841.18,5.4174
2026-09-03,arbitrum,20,115317018.64,122678742.35,1.0638
2026-09-03,polygon_pos,20,166396872.15,39096283.6,0.235
2026-09-04,solana,20,16752286.34,1946467628.98,116.1912
2026-09-04,bsc,20,155769133.22,728308519.41,4.6756
2026-09-04,base,20,165401903.1,407809495.11,2.4656
2026-09-04,eth,20,181054977.21,382271200.42,2.1114
2026-09-04,arbitrum,20,123572789.8,181838115.3,1.4715
2026-09-04,optimism,20,4697935.7,12423551.09,2.6445
