date,network,pools,reserve_usd,volume_24h,vlr
2026-08-19,solana,20,14666647.68,1328783217.26,90.599
2026-08-19,eth,20,236104564.03,733211836.22,3.1055
2026-08-19,base,20,177805614.57,710974799.24,3.9986
2026-08-19,bsc,20,117387443.11,501029800.97,4.2682
2026-08-19,arbitrum,20,685705071.67,319815774.42,0.4664
2026-08-19,polygon_pos,20,192437287.31,41015495.22,0.2131
2026-08-19,avax,20,12396421.43,34250871.5,2.763
2026-08-19,optimism,20,8597808.19,28331284.91,3.2952
2026-08-20,solana,20,15168743.17,1512694438.92,99.7244
2026-08-20,eth,20,240554613.4,952132843.98,3.9581
2026-08-20,base,20,175927789.31,790996143.74,4.4961
2026-08-20,bsc,20,119555264.36,511548055.14,4.2788
2026-08-20,arbitrum,20,683872066.83,356725597.92,0.5216
2026-08-20,polygon_pos,20,192488282.95,42444498.23,0.2205
2026-08-21,solana,20,17597255.37,1173223908.71,66.6708
2026-08-21,bsc,20,173242300.4,634268301.13,3.6612
2026-08-21,eth,20,227784444.99,575146517.65,2.525
2026-08-21,base,20,62843252.28,570936039.9,9.0851
2026-08-21,arbitrum,20,689309947.55,277000734.42,0.4019
2026-08-22,solana,20,41014871.3,1561652558.35,38.0753
2026-08-22,base,20,164234294.31,990014011.38,6.0281
2026-08-22,bsc,20,130689532.71,915814738.24,7.0076
2026-08-22,eth,20,190821767.87,626559785.79,3.2835
2026-08-22,arbitrum,20,130019871.8,539329666.31,4.1481
2026-08-23,solana,20,19953443.27,1057831368.13,53.015
2026-08-23,bsc,20,176629150.48,662463668.34,3.7506
2026-08-23,base,20,156073894.26,424549828.68,2.7202
2026-08-23,eth,20,137657973.97,291046988.04,2.1143
2026-08-23,arbitrum,20,112149340.83,150074168.36,1.3382
2026-08-24,solana,20,19401176.94,931326326.47,48.0036
2026-08-24,base,20,165033958.67,623863463.77,3.7802
2026-08-24,bsc,20,157639002.32,620172200.59,3.9341
2026-08-24,eth,20,141616501.31,271281591.66,1.9156
2026-08-24,arbitrum,20,682513413.86,202452457.85,0.2966
